Quiz Patente — Link Report
Generated: 2026-04-25T20:00:34.062Z
MAX_IDS: 30

agente_traffico                patterns=["agente del traffico","vigile","polizia"] found=30
animali_vaganti                patterns=["animali vaganti","animali","selvatici"] found=30
area                           patterns=["area"]                                 found=30
area_di_servizio               patterns=["area di servizio"]                     found=5
attenzione                     patterns=["attenzione"]                           found=30
attraversamento                patterns=["attraversamento"]                      found=30
attraversamento_pedonale       patterns=["attraversamento"]                      found=30
autocarri                      patterns=["autocarri"]                            found=30
autostrada                     patterns=["autostrada"]                           found=30
autostrada_vs_extraurbana      patterns=["autostrada","strada extraurbana principale"] found=30
autotreni_autoarticolati       patterns=["autotreni","autoarticolati"]           found=25
autovettura                    patterns=["autovettura"]                          found=30
banchina                       patterns=["banchina"]                             found=16
braccia_tese                   patterns=["braccia tese","braccia aperte","braccia distese"] found=19
carico                         patterns=["carico"]                               found=30
carreggiata                    patterns=["carreggiata"]                          found=30
catene_da_neve                 patterns=["catene da neve"]                       found=5
centro_abitato_vs_fuori        patterns=["centro abitato","fuori dai centri abitati"] found=30
ciclomotori                    patterns=["ciclomotori"]                          found=30
circolazione                   patterns=["circolazione"]                         found=30
conducente                     patterns=["conducente"]                           found=30
consentita                     patterns=["consentita","consentito"]              found=30
corsia                         patterns=["corsia"]                               found=30
corsia_di_emergenza            patterns=["corsia di emergenza"]                  found=14
corsia_vs_carreggiata          patterns=["corsia","carreggiata"]                 found=30
curva                          patterns=["curva"]                                found=30
dare_precedenza                patterns=["dare precedenza"]                      found=30
dei_veicoli                    patterns=["dei veicoli"]                          found=30
destra                         patterns=["destra"]                               found=30
direzione_obbligatoria         patterns=["direzione obbligatoria"]               found=12
diritto_precedenza             patterns=["diritto di precedenza"]                found=30
distanza_sicurezza             patterns=["distanza di sicurezza"]                found=30
divieto                        patterns=["divieto"]                              found=30
divieto_di_transito            patterns=["divieto di transito"]                  found=17
divieto_vs_obbligo             patterns=["divieto","obbligo"]                    found=30
divieto_vs_obbligo_signs       patterns=["segnale di divieto","segnale di obbligo"] found=30
doppio_senso                   patterns=["doppio senso di circolazione"]         found=30
dosso_cunetta                  patterns=["dosso","cunetta"]                      found=30
e_consentito                   patterns=["e consentito","e consentita"]          found=30
e_vietato                      patterns=["e vietato","e vietata"]                found=30
evitare                        patterns=["evitare"]                              found=30
facolta                        patterns=["facolta"]                              found=13
fermarsi                       patterns=["fermarsi"]                             found=30
fermata                        patterns=["fermata"]                              found=30
fine_diritto_precedenza        patterns=["fine del diritto di precedenza"]       found=2
fino                           patterns=["fino a"]                               found=30
fischietto                     patterns=["fischietto","suono prolungato"]        found=8
frecce_di_direzione            patterns=["frecce di direzione","frecce direzionali"] found=13
fuori_dai_centri_abitati       patterns=["fuori dai centri abitati"]             found=9
guida                          patterns=["guida"]                                found=30
in_presenza                    patterns=["in presenza di"]                       found=30
in_prossimita_di               patterns=["in prossimita di"]                     found=28
incrocio                       patterns=["incrocio"]                             found=30
intersezione                   patterns=["intersezione"]                         found=30
itinerario_autostradale        patterns=["itinerario autostradale","fondo verde","autostrada"] found=30
itinerario_extraurbano         patterns=["itinerario extraurbano","fondo blu","extraurbana"] found=30
la_velocita                    patterns=["la velocita"]                          found=30
lanterna_semaforica            patterns=["lanterna semaforica","semaforo"]       found=30
lavori_in_corso                patterns=["lavori in corso"]                      found=22
limite                         patterns=["limite"]                               found=30
limite_minimo                  patterns=["limite minimo di velocita"]            found=7
linea_di_arresto               patterns=["linea di arresto","striscia trasversale continua"] found=7
luce                           patterns=["luce","luci"]                          found=30
luce_gialla                    patterns=["luce gialla fissa","lampeggiante"]     found=30
luce_rossa                     patterns=["luce rossa"]                           found=29
luci_anabbaglianti_obbligo     patterns=["luci anabbaglianti"]                   found=12
